# file...... IEEE-13_House_power.csv
# date...... Tue Dec  1 01:37:27 2020
# user...... (null)
# host...... (null)
# group..... class=triplex_load
# property.. constant_power_12
# limit..... 10000
# interval.. 60
# timestamp,tl_house_1,tl_house_16,tl_house_31,tl_house_2,tl_house_17,tl_house_32,tl_house_3,tl_house_18,tl_house_33,tl_house_4,tl_house_19,tl_house_34,tl_house_5,tl_house_20,tl_house_35,tl_house_6,tl_house_21,tl_house_36,tl_house_7,tl_house_22,tl_house_37,tl_house_8,tl_house_23,tl_house_38,tl_house_9,tl_house_24,tl_house_39,tl_house_10,tl_house_25,tl_house_40,tl_house_11,tl_house_26,tl_house_12,tl_house_27,tl_house_13,tl_house_28,tl_house_14,tl_house_29,tl_house_15,tl_house_30
2018-01-01 00:20:00 EST,+306.322+173.115j,+580.373+333.63j,+362.672+186.331j,+1013.49+553.298j,+270.761+941.915j,+636.769+1455.45j,+376.881+202.418j,+574.741+329.379j,+467.538+988.745j,+219.89+104.202j,+542.674+308.796j,+361.722+198.335j,+572.166+334.79j,+296.831+455.929j,+394.83+775.904j,+351.012+875.989j,+636.859+1320.62j,+305.267+881.924j,+601.501+343.771j,+328.427+186.369j,+378.953+961.041j,+428.613+214.098j,+307.621+893.864j,+654.628+1010.89j,+196+91.2757j,+306.214+175.776j,+227.758+115.466j,+197.655+98.3299j,+216.427+598.18j,+384.779+624.288j,+326.374+176.586j,+398.24+215.103j,+303.498+164.456j,+392.84+921.086j,+260.712+122.565j,+395.473+1054.19j,+189.11+100.026j,+635.137+358.606j,+363.401+908.17j,+636.134+1206.68j
2018-01-01 00:21:00 EST,+306.297+173.084j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.78+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.788+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.135j,+303.471+164.425j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.124+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:22:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:23:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:24:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:25:00 EST,+306.297+173.085j,+580.325+333.578j,+362.639+186.299j,+1013.57+553.382j,+270.783+941.94j,+636.811+1455.5j,+376.91+202.447j,+574.779+329.422j,+467.578+988.776j,+219.867+104.181j,+542.629+308.747j,+361.691+198.302j,+572.384+335.035j,+296.959+456.061j,+394.988+776.072j,+350.97+875.946j,+636.789+1320.55j,+305.236+881.882j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.559+214.045j,+307.586+893.822j,+654.566+1010.79j,+196.016+91.2934j,+306.235+175.803j,+227.776+115.486j,+197.672+98.348j,+216.446+598.199j,+384.812+624.317j,+326.397+176.613j,+398.269+215.134j,+303.471+164.426j,+392.807+921.035j,+260.735+122.586j,+395.504+1054.22j,+189.123+100.045j,+635.183+358.653j,+363.37+908.129j,+636.08+1206.63j
2018-01-01 00:26:00 EST,+306.29+173.076j,+580.311+333.563j,+362.629+186.289j,+1013+552.756j,+270.616+941.749j,+636.491+1455.12j,+376.945+202.481j,+574.825+329.473j,+467.626+988.814j,+219.858+104.172j,+542.611+308.727j,+361.678+198.288j,+572.423+335.079j,+296.981+456.084j,+395.016+776.102j,+350.961+875.936j,+636.772+1320.53j,+305.229+881.873j,+601.623+343.917j,+328.493+186.449j,+379.033+961.147j,+428.546+214.032j,+307.578+893.812j,+654.552+1010.76j,+195.999+91.2743j,+306.213+175.774j,+227.757+115.464j,+197.654+98.3285j,+216.426+598.179j,+384.776+624.286j,+326.42+176.639j,+398.297+215.165j,+303.463+164.417j,+392.797+921.02j,+260.71+122.564j,+395.471+1054.19j,+189.137+100.064j,+635.227+358.7j,+363.361+908.117j,+636.064+1206.61j
2018-01-01 00:27:00 EST,+306.29+173.076j,+580.311+333.563j,+362.629+186.289j,+1013+552.756j,+270.617+941.749j,+636.492+1455.12j,+376.945+202.481j,+574.825+329.473j,+467.626+988.814j,+219.858+104.172j,+542.611+308.727j,+361.678+198.288j,+572.423+335.079j,+296.981+456.084j,+395.016+776.102j,+350.961+875.936j,+636.772+1320.53j,+305.229+881.873j,+601.623+343.917j,+328.493+186.449j,+379.033+961.147j,+428.546+214.032j,+307.578+893.812j,+654.552+1010.76j,+195.999+91.2744j,+306.213+175.774j,+227.757+115.464j,+197.654+98.3285j,+216.426+598.179j,+384.776+624.286j,+326.42+176.639j,+398.297+215.165j,+303.463+164.417j,+392.797+921.02j,+260.71+122.564j,+395.471+1054.19j,+189.137+100.064j,+635.227+358.7j,+363.361+908.117j,+636.064+1206.61j
2018-01-01 00:28:00 EST,+306.29+173.076j,+580.311+333.563j,+362.629+186.289j,+1013+552.756j,+270.617+941.749j,+636.492+1455.12j,+376.945+202.481j,+574.825+329.473j,+467.626+988.814j,+219.858+104.172j,+542.611+308.727j,+361.678+198.288j,+572.423+335.079j,+296.981+456.084j,+395.016+776.102j,+350.961+875.936j,+636.772+1320.53j,+305.229+881.873j,+601.623+343.917j,+328.493+186.449j,+379.033+961.147j,+428.546+214.032j,+307.578+893.812j,+654.552+1010.76j,+195.999+91.2744j,+306.213+175.774j,+227.757+115.464j,+197.654+98.3285j,+216.426+598.179j,+384.776+624.286j,+326.42+176.639j,+398.297+215.165j,+303.463+164.417j,+392.797+921.02j,+260.71+122.564j,+395.471+1054.19j,+189.137+100.064j,+635.227+358.7j,+363.361+908.117j,+636.064+1206.61j
2018-01-01 00:29:00 EST,+306.29+173.076j,+580.311+333.563j,+362.629+186.289j,+1013+552.756j,+270.617+941.749j,+636.492+1455.12j,+376.945+202.481j,+574.825+329.473j,+467.626+988.814j,+219.858+104.172j,+542.611+308.727j,+361.678+198.288j,+572.423+335.079j,+296.981+456.084j,+395.016+776.102j,+350.961+875.936j,+636.772+1320.53j,+305.229+881.873j,+601.623+343.917j,+328.493+186.449j,+379.033+961.147j,+428.546+214.032j,+307.578+893.812j,+654.552+1010.76j,+195.999+91.2744j,+306.213+175.774j,+227.757+115.464j,+197.654+98.3285j,+216.426+598.179j,+384.776+624.286j,+326.42+176.639j,+398.297+215.165j,+303.463+164.417j,+392.797+921.02j,+260.71+122.564j,+395.471+1054.19j,+189.137+100.064j,+635.227+358.7j,+363.361+908.117j,+636.064+1206.61j
